station name,lines,area,latitude,longitude
Adenauerplatz,U7,Charlottenburg,52.499722222222225,13.307222222222222
Adlershof,"S45, S46, S8, S85, S9",Adlershof,52.43472222222222,13.54138888888889
Afrikanische Straße,U6,Wedding,52.56055555555555,13.334166666666667
Ahrensfelde,S7,Marzahn,52.57166666666667,13.565000000000001
Alexanderplatz,"U2, U5, U8, S3, S5, S7, S9",Mitte,52.521388888888886,13.412638888888889
Alt-Mariendorf,U6,Mariendorf,52.439722222222215,13.3875
Alt-Reinickendorf,S25,Reinickendorf,52.57777777777778,13.350555555555555
Alt-Tegel,U6,Tegel,52.589444444444446,13.28361111111111
Alt-Tempelhof,U6,Tempelhof,52.46611111111111,13.385555555555555
Altglienicke,"S45, S9",Altglienicke,52.407222222222224,13.55888888888889
Altstadt Spandau,U7,Spandau,52.53916666666667,13.205555555555556
Amrumer Straße,U9,Wedding,52.54222222222222,13.34888888888889
Anhalter Bahnhof,"S1, S2, S25, S26",Kreuzberg,52.503055555555555,13.381944444444445
Attilastraße,S2,Tempelhof,52.44777777777777,13.360833333333334
Augsburger Straße,U3,Charlottenburg,52.50055555555556,13.336388888888889
Babelsberg,S7,Babelsberg,52.39138888888889,13.092222222222222
Baumschulenweg,"S45, S46, S47, S8, S85, S9",Baumschulenweg,52.4675,13.489722222222222
Bayerischer Platz,"U4, U7",Schöneberg,52.48861111111111,13.34
Bellevue,"S3, S5, S7, S9",Hansaviertel,52.519999999999996,13.347777777777779
Bergfelde,S8,Bergfelde,52.67027777777778,13.320277777777777
Berliner Straße,"U7, U9",Wilmersdorf,52.48722222222222,13.330833333333333
Bernau,S2,BernaubeiBerlin,52.67611111111111,13.593055555555557
Bernau-Friedenstal,S2,BernaubeiBerlin,52.66861111111111,13.564722222222223
Bernauer Straße,U8,Mitte,52.5375,13.396666666666667
Betriebsbahnhof Rummelsburg,S3,Rummelsburg,52.49388888888889,13.497777777777777
Beusselstraße,"S41, S42",Moabit,52.53444444444444,13.329444444444444
Biesdorf,S5,Biesdorf,52.51305555555555,13.555277777777778
Biesdorf-Süd,U5,Biesdorf,52.499722222222225,13.546388888888888
Birkenstein,S5,Dahlwitz-Hoppegarten,52.51583333333333,13.647499999999999
Birkenstraße,U9,Moabit,52.532222222222224,13.34138888888889
Birkenwerder,"S1, S8",Birkenwerder,52.68861111111111,13.28888888888889
Bismarckstraße,"U2, U7",Charlottenburg,52.51138888888889,13.304722222222223
Blankenburg,"S2, S8",Blankenburg,52.59138888888889,13.443611111111112
Blankenfelde,S2,Blankenfelde-Mahlow,52.33694444444445,13.416111111111112
Blaschkoallee,U7,Britz,52.45166666666667,13.449722222222222
Blissestraße,U7,Wilmersdorf,52.486666666666665,13.321944444444444
Boddinstraße,U8,Neukölln,52.47944444444445,13.425555555555555
Borgsdorf,S1,Borgsdorf,52.71555555555556,13.27638888888889
Bornholmer Straße,"S1, S2, S25, S26, S8, S85",PrenzlauerBerg,52.55444444444444,13.398055555555555
Borsigwerke,U6,Tegel,52.581944444444446,13.290833333333333
Botanischer Garten,S1,Lichterfelde,52.448055555555555,13.307222222222222
Brandenburger Tor,"U5, S1, S2, S25, S26",Mitte,52.51638888888889,13.380833333333333
Breitenbachplatz,U3,Dahlem,52.466944444444444,13.308611111111112
Britz-Süd,U7,Britz,52.437777777777775,13.448333333333334
Buch,S2,Buch,52.63583333333333,13.491666666666665
Buckower Chaussee,S2,Marienfelde,52.41027777777778,13.382777777777779
Bundesplatz,"U9, S41, S42, S46",Wilmersdorf,52.47819444444444,13.328333333333333
Bundestag,U5,Tiergarten,52.519999999999996,13.373055555555556
Bülowstraße,U2,Schöneberg,52.4975,13.363333333333333
Charlottenburg,"S3, S5, S7, S9",Charlottenburg,52.50472222222222,13.303333333333335
Cottbusser Platz,U5,Hellersdorf,52.53388888888889,13.596388888888889
Dahlem-Dorf,U3,Dahlem,52.4575,13.289722222222222
Deutsche Oper,U2,Charlottenburg,52.511944444444445,13.310555555555556
Eberswalder Straße,U2,Prenzlauer Berg,52.541666666666664,13.412222222222223
