group,sender,text,date
freifahren_BE,104266818,S41 next Station ostkreuz 2x männlich gelesen 3x weiblich gelesen,2023-08-29 03:19:10+00:00
freifahren_BE,104266818,Sind drinn geblieben,2023-08-29 03:20:44+00:00
freifahren_BE,104266818,Treptower Park ausgestiegen,2023-08-29 03:23:29+00:00
freifahren_BE,5938516760,Zivil?,2023-08-29 03:27:24+00:00
freifahren_BE,125113231,In Zivil gerade storkowerstr,2023-08-29 04:12:57+00:00
freifahren_BE,1451461726,2 Zivi Controlleure gerade landsberger alle ausgestiegen,2023-08-29 05:18:50+00:00
freifahren_BE,1308515937,s41 innsbrucker platz zwei männlich gelesene kontrolettis,2023-08-29 05:25:31+00:00
freifahren_BE,1492352467,"3 Leute s5 Richtung Mahlsdorf 
1x Mann blaue north face jacke mit Brille 
1x Frau mit weißer Jacke S Bahn Bauchtasche
1x Frau mit schwarze Jacke blonde Haare",2023-08-29 05:40:29+00:00
freifahren_BE,820128142,S41 Halensee ein männlich ein weiblich gelesen,2023-08-29 05:41:49+00:00
freifahren_BE,27110448,"S9 leaving BER, one with a green sweater, the other a black jacket and black hat",2023-08-29 05:54:37+00:00
freifahren_BE,27110448,,2023-08-29 05:54:37+00:00
freifahren_BE,281866913,U9 leo Richtung osloer dtraße blaue westen,2023-08-29 06:02:14+00:00
freifahren_BE,442407759,M5 Mollstr -> Alex,2023-08-29 06:07:56+00:00
freifahren_BE,442407759,"Alex ausgestiegen 1 Mann, 1 Frau",2023-08-29 06:08:28+00:00
freifahren_BE,50635257,"Leopoldplatz u9 Richtung Rathaus Steglitz, 3 dudes mit Westen",2023-08-29 06:26:05+00:00
freifahren_BE,96204453,S1 Richtung Oranienburg. Männlich gelesen,2023-08-29 06:26:24+00:00
freifahren_BE,1576009739,S85 Prenzlauer Allee standen 3 Leute in Gelber Weste drinnen,2023-08-29 06:32:00+00:00
freifahren_BE,5450031721,Friedrichshagen s3 Mann glatze und Bart + Frau dunkle Haare mit rosa gefärbten Haaren,2023-08-29 06:32:17+00:00
freifahren_BE,344587735,"Große Kontrolle mit Bullen am Alex, U8",2023-08-29 06:33:40+00:00
freifahren_BE,1576009739,S42  westhafen zwei männlich gelesene.,2023-08-29 06:41:58+00:00
freifahren_BE,5625632946,Weberweise 3 Person Hönow,2023-08-29 06:42:15+00:00
freifahren_BE,5625632946,U5,2023-08-29 06:42:20+00:00
freifahren_BE,5628102240,Großkontrolle Alex U8 beim Aussteigen aus Richtung Hermannplatz.,2023-08-29 06:53:42+00:00
