,station,line,latitude,longitude
0,borgsdorf,S1,52.71555555555556,13.27638888888889
1,botanischer garten,S1,52.44805555555556,13.307222222222222
2,feuerbachstr,S1,52.46361111111111,13.3325
3,friedenau,S1,52.47,13.340555555555556
4,frohnau,S1,52.6325,13.290277777777778
5,hermsdorf,S1,52.617777777777775,13.306944444444444
6,julius leber brücke,S1,52.486268888889,13.360211944444
7,lehnitz,S1,52.74111111111111,13.26361111111111
8,lichterfelde west,S1,52.44333333333333,13.29472222222222
9,mexikoplatz,S1,52.4375,13.2325
10,oranienburg,S1,52.75361111111111,13.24972222222222
11,schlachtensee,S1,52.44,13.215277777777777
12,sundgauer str,S1,52.436388888888885,13.273888888888887
13,zehlendorf,S1,52.43083333333333,13.258333333333333
14,anhalter bahnhof,S1,52.50305555555556,13.381944444444445
15,anhalter bahnhof,S2,52.50305555555556,13.381944444444445
16,anhalter bahnhof,S25,52.50305555555556,13.381944444444445
17,anhalter bahnhof,S26,52.50305555555556,13.381944444444445
18,humboldthain,S1,52.545,13.379444444444443
19,humboldthain,S2,52.545,13.379444444444443
20,humboldthain,S25,52.545,13.379444444444443
21,humboldthain,S26,52.545,13.379444444444443
22,nordbahnhof,S1,52.53194444444444,13.387777777777778
23,nordbahnhof,S2,52.53194444444444,13.387777777777778
24,nordbahnhof,S25,52.53194444444444,13.387777777777778
25,nordbahnhof,S26,52.53194444444444,13.387777777777778
26,oranienburger str,S1,52.525046,13.392924
27,oranienburger str,S2,52.525046,13.392924
28,oranienburger str,S25,52.525046,13.392924
29,oranienburger str,S26,52.525046,13.392924
30,bornholmer str,S1,52.55444444444444,13.398055555555556
31,bornholmer str,S2,52.55444444444444,13.398055555555556
32,bornholmer str,S25,52.55444444444444,13.398055555555556
33,bornholmer str,S26,52.55444444444444,13.398055555555556
34,bornholmer str,S8,52.55444444444444,13.398055555555556
35,bornholmer str,S85,52.55444444444444,13.398055555555556
36,schönholz,S1,52.57138888888889,13.381388888888887
37,schönholz,S25,52.57138888888889,13.381388888888887
38,schönholz,S26,52.57138888888889,13.381388888888887
39,wollankstr,S1,52.56527777777777,13.39222222222222
40,wollankstr,S25,52.56527777777777,13.39222222222222
41,wollankstr,S26,52.56527777777777,13.39222222222222
42,waidmannslust,S1,52.60638888888889,13.321111111111112
43,waidmannslust,S26,52.60638888888889,13.321111111111112
44,wilhelmsruh,S1,52.581388888888895,13.363055555555556
45,wilhelmsruh,S26,52.581388888888895,13.363055555555556
46,schöneberg,S1,52.47944444444445,13.351666666666668
47,schöneberg,S41,52.47944444444445,13.351666666666668
48,schöneberg,S42,52.47944444444445,13.351666666666668
49,schöneberg,S46,52.47944444444445,13.351666666666668
50,nikolassee,S1,52.431666666666665,13.193333333333332
51,nikolassee,S7,52.431666666666665,13.193333333333332
52,wannsee,S1,52.421388888888885,13.179166666666664
53,wannsee,S7,52.421388888888885,13.179166666666664
54,birkenwerder,S1,52.68861111111111,13.28888888888889
55,birkenwerder,S8,52.68861111111111,13.28888888888889
56,hohen neuendorf,S1,52.66833333333333,13.286944444444444
57,hohen neuendorf,S8,52.66833333333333,13.286944444444444
58,attilastr,S2,52.44777777777777,13.360833333333334
59,bernau,S2,52.67611111111111,13.593055555555557
60,bernau friedenstal,S2,52.66861111111111,13.564722222222224
61,blankenfelde,S2,52.33694444444445,13.416111111111112
62,buch,S2,52.63583333333333,13.491666666666664
63,buckower chaussee,S2,52.41027777777778,13.38277777777778
64,karow,S2,52.615,13.469166666666666
65,lichtenrade,S2,52.387146,13.396526
