,station,line,latitude,longitude
0,adenauerplatz,U7,52.49972222222223,13.307222222222222
1,adlershof,S45,52.43472222222222,13.54138888888889
2,adlershof,S46,52.43472222222222,13.54138888888889
3,adlershof,S8,52.43472222222222,13.54138888888889
4,adlershof,S85,52.43472222222222,13.54138888888889
5,adlershof,S9,52.43472222222222,13.54138888888889
6,afrikanische str,U6,52.56055555555555,13.334166666666668
7,ahrensfelde,S7,52.57166666666667,13.565
8,alex,U2,52.521388888888886,13.412638888888887
9,alex,U5,52.521388888888886,13.412638888888887
10,alex,U8,52.521388888888886,13.412638888888887
11,alex,S3,52.521388888888886,13.412638888888887
12,alex,S5,52.521388888888886,13.412638888888887
13,alex,S7,52.521388888888886,13.412638888888887
14,alex,S9,52.521388888888886,13.412638888888887
15,alt mariendorf,U6,52.439722222222215,13.3875
16,alt reinickendorf,S25,52.57777777777778,13.350555555555555
17,alt tegel,U6,52.589444444444446,13.28361111111111
18,alt tempelhof,U6,52.46611111111111,13.385555555555555
19,altglienicke,S45,52.407222222222224,13.55888888888889
20,altglienicke,S9,52.407222222222224,13.55888888888889
21,altstadt spandau,U7,52.53916666666667,13.205555555555556
22,amrumer str,U9,52.54222222222222,13.34888888888889
23,anhalter bahnhof,S1,52.50305555555556,13.381944444444445
24,anhalter bahnhof,S2,52.50305555555556,13.381944444444445
25,anhalter bahnhof,S25,52.50305555555556,13.381944444444445
26,anhalter bahnhof,S26,52.50305555555556,13.381944444444445
27,attilastr,S2,52.44777777777777,13.360833333333334
28,augsburger str,U3,52.50055555555556,13.336388888888887
29,babelsberg,S7,52.39138888888889,13.092222222222222
30,baumschulenweg,S45,52.4675,13.489722222222222
31,baumschulenweg,S46,52.4675,13.489722222222222
32,baumschulenweg,S47,52.4675,13.489722222222222
33,baumschulenweg,S8,52.4675,13.489722222222222
34,baumschulenweg,S85,52.4675,13.489722222222222
35,baumschulenweg,S9,52.4675,13.489722222222222
36,bayerischer platz,U4,52.48861111111111,13.34
37,bayerischer platz,U7,52.48861111111111,13.34
38,bellevue,S3,52.52,13.34777777777778
39,bellevue,S5,52.52,13.34777777777778
40,bellevue,S7,52.52,13.34777777777778
41,bellevue,S9,52.52,13.34777777777778
42,bergfelde,S8,52.67027777777778,13.320277777777775
43,berliner str,U7,52.48722222222222,13.330833333333333
44,berliner str,U9,52.48722222222222,13.330833333333333
45,bernau,S2,52.67611111111111,13.593055555555557
46,bernau friedenstal,S2,52.66861111111111,13.564722222222224
47,bernauer str,U8,52.5375,13.396666666666668
48,betriebsbahnhof rummelsburg,S3,52.49388888888889,13.497777777777776
49,beusselstr,S41,52.53444444444444,13.329444444444444
50,beusselstr,S42,52.53444444444444,13.329444444444444
51,biesdorf,S5,52.51305555555555,13.555277777777778
52,biesdorf süd,U5,52.49972222222223,13.546388888888888
53,birkenstein,S5,52.51583333333333,13.6475
54,birkenstr,U9,52.532222222222224,13.34138888888889
55,birkenwerder,S1,52.68861111111111,13.28888888888889
56,birkenwerder,S8,52.68861111111111,13.28888888888889
57,bismarckstr,U2,52.51138888888889,13.304722222222225
58,bismarckstr,U7,52.51138888888889,13.304722222222225
59,blankenburg,S2,52.59138888888889,13.443611111111112
60,blankenburg,S8,52.59138888888889,13.443611111111112
61,blankenfelde,S2,52.33694444444445,13.416111111111112
62,blaschkoallee,U7,52.45166666666667,13.449722222222222
63,blissestr,U7,52.486666666666665,13.321944444444444
64,boddinstr,U8,52.47944444444445,13.425555555555556
65,borgsdorf,S1,52.71555555555556,13.27638888888889
66,bornholmer str,S1,52.55444444444444,13.398055555555556
67,bornholmer str,S2,52.55444444444444,13.398055555555556
68,bornholmer str,S25,52.55444444444444,13.398055555555556
69,bornholmer str,S26,52.55444444444444,13.398055555555556
70,bornholmer str,S8,52.55444444444444,13.398055555555556
71,bornholmer str,S85,52.55444444444444,13.398055555555556
72,borsigwerke,U6,52.581944444444446,13.290833333333332
73,botanischer garten,S1,52.44805555555556,13.307222222222222
74,brandenburger tor,U5,52.51638888888889,13.380833333333332
75,brandenburger tor,S1,52.51638888888889,13.380833333333332
76,brandenburger tor,S2,52.51638888888889,13.380833333333332
77,brandenburger tor,S25,52.51638888888889,13.380833333333332
78,brandenburger tor,S26,52.51638888888889,13.380833333333332
79,breitenbachplatz,U3,52.46694444444445,13.308611111111112
80,britz süd,U7,52.437777777777775,13.448333333333334
81,buch,S2,52.63583333333333,13.491666666666664
82,buckower chaussee,S2,52.41027777777778,13.38277777777778
83,bundesplatz,U9,52.47819444444444,13.328333333333331
84,bundesplatz,S41,52.47819444444444,13.328333333333331
85,bundesplatz,S42,52.47819444444444,13.328333333333331
86,bundesplatz,S46,52.47819444444444,13.328333333333331
87,bundestag,U5,52.52,13.373055555555556
88,bülowstr,U2,52.4975,13.363333333333332
89,charlottenburg,S3,52.50472222222222,13.303333333333336
90,charlottenburg,S5,52.50472222222222,13.303333333333336
91,charlottenburg,S7,52.50472222222222,13.303333333333336
92,charlottenburg,S9,52.50472222222222,13.303333333333336
93,cottbusser platz,U5,52.53388888888889,13.596388888888889
94,dahlem dorf,U3,52.4575,13.289722222222222
95,deutsche oper,U2,52.511944444444445,13.310555555555556
96,eberswalder str,U2,52.54166666666666,13.412222222222224
97,eichborndamm,S25,52.5775,13.316944444444443
98,eichwalde,S46,52.37138888888889,13.615277777777775
99,eichwalde,S8,52.37138888888889,13.615277777777775
100,eisenacher str,U7,52.489444444444445,13.350277777777777
101,elsterwerdaer platz,U5,52.505,13.560555555555556
102,erkner,S3,52.42972222222222,13.751388888888888
103,ernst reuter platz,U2,52.511944444444445,13.322222222222225
104,fehrbelliner platz,U3,52.49027777777778,13.314166666666669
105,fehrbelliner platz,U7,52.49027777777778,13.314166666666669
106,feuerbachstr,S1,52.46361111111111,13.3325
107,flughafen ber – terminal 1 2,S45,52.36666666666667,13.503333333333334
