,group,sender,text,date
1,freifahren_BE,5938516760,Security...erkennst du auch an den Handschuhen. Noch nie kontrollettis mit Quarzhandschuhen gesehen 🤣👌,2023-09-05 03:29:59+00:00
1,freifahren_BE,5256526984,7 leutz pankstraße,2023-09-05 05:22:33+00:00
1,freifahren_BE,445908679,"Originalbild gelöscht.
Bitte alle Gesichter aus den Bildern übermalen oder rausschneiden.",2023-09-05 05:31:55+00:00
1,freifahren_BE,872326896,S42,2023-09-05 05:35:43+00:00
1,freifahren_BE,872326896,Landsberger,2023-09-05 05:38:54+00:00
1,freifahren_BE,908633765,What is this group for?,2023-09-05 05:48:36+00:00
1,freifahren_BE,2082723522,Making the world a better place,2023-09-05 05:51:32+00:00
1,freifahren_BE,952687923,❤️🙏,2023-09-05 05:53:35+00:00
1,freifahren_BE,873527646,Sind storkower ausgestiegen und schreiben jemanden auf,2023-09-05 05:58:46+00:00
1,freifahren_BE,5378503635,Airport 2 guys dressed with black t shirts,2023-09-05 06:09:55+00:00
1,freifahren_BE,5378503635,SBahn,2023-09-05 06:10:13+00:00
1,freifahren_BE,488620167,🙊Quartz Handschuhe?!,2023-09-05 06:42:23+00:00
1,freifahren_BE,782746893,Quartz Sand einlagen an den Fingern damit man beim zuschlagen mehr Schaden anrichtet,2023-09-05 06:45:03+00:00
1,freifahren_BE,1024364842,Südstern u7 full,2023-09-05 06:45:25+00:00
1,freifahren_BE,1024364842,Police,2023-09-05 06:45:28+00:00
1,freifahren_BE,1024364842,,2023-09-05 06:46:01+00:00
1,freifahren_BE,768001061,2secus Bushaltestelle 171 s Sonnenalllee Richtung rudow. Sehen eher nach Kontrolle aus,2023-09-05 06:47:30+00:00
1,freifahren_BE,1209696432,"2 in schwarz gekleidet jetzt Nöldnerplatz, werden wohl in die S5 nach Strausberg Nord steigen.",2023-09-05 06:58:14+00:00
1,freifahren_BE,525979693,"2 kontrollis , ein mit glatze rot Schwarzes T-shirt , ein mit schwarzer cap nach hinten rum und schwarzen schirt , Westend bei Ringbahn ausgestiegen",2023-09-05 07:05:44+00:00
1,freifahren_BE,1215410211,"S41 Westkreuz lockiges Haar bis zur Schulter, männlich gelesen",2023-09-05 07:10:17+00:00
1,freifahren_BE,618685191,"U6 Leopoldplatz
Richtung süd

3 blauwesten",2023-09-05 07:18:16+00:00
1,freifahren_BE,415502761,M10 Richtung Warschauer Straße,2023-09-05 07:26:18+00:00
1,freifahren_BE,415502761,Jetzt Grünberger,2023-09-05 07:26:50+00:00
1,freifahren_BE,415502761,Sind dort ausgestiegen,2023-09-05 07:27:04+00:00
